Samuel_Bogley,Blair_Lee_III
William_Randolph_Hearst_Jr.,William_Randolph_Hearst
Edward_P._Brynn,Bill_Clinton
Zoë_Kravitz,Lenny_Kravitz
Martin_Silva,Adam_Vaughan
Brenda_Maddox,John_Maddox
"Francis_Fane,_1st_Earl_of_Westmorland","Robert_Sidney,_1st_Earl_of_Leicester"
Andrew_Peacock,Bob_Hawke
Hafez_al-Assad,Abdul_Halim_Khaddam
Claude_Morin_(Beauce_politician),Robert_Dutil
Lucie_Manette,Charles_Dickens
Ellen_Horn,Kjetil_Bang-Hansen
Wendy_Sherman,Bill_Clinton
Manilal_Gandhi,Kasturba_Gandhi
Liv_Tyler,Mia_Tyler
Pedro_Correia_da_Cunha,Manuel_I_of_Portugal
Malcolm_Shabazz,Qubilah_Shabazz
Peter_Sarsgaard,Jake_Gyllenhaal
Ray_Lyman_Wilbur,Harold_L._Ickes
Wan_Azizah_Wan_Ismail,Abdul_Halim_of_Kedah
Dominique_de_Villepin,Michel_Barnier
Wayne_Bickerton,Pete_Best
Isaac_in_Islam,Sarah
Shane_McMahon,Stephanie_McMahon
Joseph_P._Kennedy_Sr.,Neville_Chamberlain
Jeanne_E._Scott,Bill_Clinton
Johann_Sebastian_Paetsch,Michaela_Paetsch
Ali_Mosaffa,Leila_Hatami
Paul_Otlet,Ted_Nelson
Charles_de_Hovyne,Philip_IV_of_Spain
Ron_Tschetter,George_W._Bush
Adam_Egede-Nissen,Emil_Løvlien
"Robert_Gascoyne-Cecil,_3rd_Marquess_of_Salisbury",Prime_Minister_of_the_United_Kingdom
Morgan_Mason,Ronald_Reagan
Peter_Thorneycroft,Winston_Churchill
Tah_Mac,Aretha_Franklin
John_O._Brennan,Barack_Obama
George_H._W._Bush,Richard_Nixon
Harold_Wilson,"Sir_Ronald_Cross,_1st_Baronet"
"George_Thomson,_Baron_Thomson_of_Monifieth",Patrick_Gordon_Walker
Don_Devlin,Lisa_Brenner
Giovanni_Agnelli,Giorgio_Agnelli
M._Visvesvaraya,T._Ananda_Rao
William_Stevenson_(athlete),Robert_K._Carr
Heather_Zichal,Barack_Obama
Ann_Parker_Bowles,"Sir_Humphrey_de_Trafford,_4th_Baronet"
Agatha_Christie,Max_Mallowan
Sam_Rayburn,John_F._Kennedy
William_F._Nast,William_Nast_(Methodist)
Neil_Kinnock,Karel_Van_Miert
Daniel_James_(businessman),Anson_Green_Phelps
Robin_S._Rosenbaum,Barack_Obama
Danny_Boy_(singer),Tupac_Shakur
Anitelea_Tuilagi,Sanele_Vavae_Tuilagi
Jaime_Lannister,Tyrion_Lannister
Conchita_Carpio-Morales,Benigno_Aquino_III
H._V._Evatt,Robert_Menzies
Tony_Soprano,Tony_Sparano
Eleanor_Roosevelt_Seagraves,Eleanor_Roosevelt
Olle_Westling,"Princess_Estelle,_Duchess_of_Östergötland"
Nandamuri_Harikrishna,Nandamuri_Balakrishna
John_Y._Brown_Jr.,Julian_Carroll
Edward_Heitmann,Hugh_Mahon
Véronique_Sanson,Michel_Berger
"John_P._Poe,_Sr.",Edgar_Allan_Poe
Massimo_Marone,Bradley_Bell
Şevket_Sabancı,Sakıp_Sabancı
Will_Horton_and_Sonny_Kiriakis,Ken_Corday
John_Ashcroft,George_W._Bush
Ashikaga_Takauji,Ashikaga_Tadayoshi
Dora_Bakoyannis,Konstantinos_Mitsotakis
Lindy_Boggs,Hale_Boggs
Susil_Premajayantha,Mahinda_Rajapaksa
Hoyt_Patrick_Taylor,Luther_H._Hodges
Perez_Morton,James_T._Austin
William_Kneass,Martin_Van_Buren
James_H._%22Jim%22_Brown,Paul_Hardy
Lady_Cynthia_Asquith,Herbert_Asquith_(poet)
John_Wayne,Esperanza_Baur
Carl_Christian_Hall,Anders_Sandøe_Ørsted
Theodore_Roosevelt_Jr.,Theodore_Douglas_Robinson
Johanna_Wolf,Adolf_Hitler
Lady_Sarah_Lennox,"Charles_Lennox,_2nd_Duke_of_Richmond"
Julia_Grant,Eliza_McCardle_Johnson
John_W._Nordstrom,Bruce_Nordstrom
Paul_Crouch,Jan_Crouch
William_Howard_Taft,Theodore_Roosevelt
Michael_Hussar,Francis_Ford_Coppola
Sara_Nazarbayeva,Nursultan_Nazarbayev
Blas_Ople,Manuel_Villar
Matthew_Bryza,Barack_Obama
René_Barrientos,Luis_Adolfo_Siles_Salinas
Evelina_de_Rothschild,Charlotte_von_Rothschild
A._J._Raffles_(character),John_Barrymore
Satyavati,Shantanu
Thomas_Dacres_(younger),George_Fane
Herbert_Putnam,William_Howard_Taft
Pedro_Pablo_Kuczynski,Jaime_Quijandría_Salmón
Robert_Louis_Stevenson,Ernest_Hemingway
Abdul_Halim_Khaddam,Bashar_al-Assad
Guy_D._Goff,Davis_Elkins
Michel_Debré,Pierre_Messmer
Cornelius_Vanderbilt_II,William_Henry_Vanderbilt
Rafael_Yabut,Mark_Villar
"Clarence_Addison_Brimmer,_Jr.",Ewing_Thomas_Kerr
"John_Simon,_1st_Viscount_Simon",Neville_Chamberlain
Theodore_Roosevelt,Henry_A._Barnum
David_Lloyd_George,"James_Gascoyne-Cecil,_4th_Marquess_of_Salisbury"
Ted_Stevens,Alan_K._Simpson
Steve_Pettit,Stephen_Jones_(administrator)
James_Cox_Aikins,John_Norquay
"William_Legge,_2nd_Earl_of_Dartmouth","Augustus_FitzRoy,_3rd_Duke_of_Grafton"
David_M._Lawson,Bill_Clinton
George_P._Wanty,William_McKinley
Philip_Klutznick,Jimmy_Carter
Mehdi_Bazargan,Mohammad-Ali_Rajai
Susanna_Wesley,Samuel_Wesley_(poet)
Paul_H._O'Neill,George_W._Bush
Charles-Eusèbe_Casgrain,Charles_Alphonse_Pantaléon_Pelletier
Daniel_D._Crabtree,Barack_Obama
B._H._%22Johnny%22_Rogers,Bryan_A._Poston
Eddie_Fisher_(singer),Richard_Burton
David_Anderson_(Australian_politician),William_Thompson_(New_South_Wales_politician)
Herschel_Whitfield_Arant,Franklin_D._Roosevelt
Arthur_MacArthur_Sr.,Erasmus_D._Campbell
Pius_Langa,Thabo_Mbeki
Alfred_Daniel_Williams_King,Alberta_Williams_King
Thomas_E._Dewey,Frank_Hogan
Diana_Barrymore,Lionel_Barrymore
John_Winchester_(Supernatural),Jeffrey_Dean_Morgan
Paul_Kohner,John_Weitz
Phil_Angelides,Jerry_Brown
Angus_Hambro,"Robert_Yerburgh,_1st_Baron_Alvingham"
H._H._Asquith,"Henry_Matthews,_1st_Viscount_Llandaff"
Therese_Coffey,Rory_Stewart
Rosemary_S._Pooler,Bill_Clinton
Thomas_Robert_McInnes,Queen_Victoria
"Herbert_Samuel,_1st_Viscount_Samuel","Sir_John_Gilmour,_2nd_Baronet"
Alexander_H._Flax,John_F._Kennedy
Birger_Jarl,Ulf_Fase
Clay_Constantinou,Bill_Clinton
"Sir_Charles_Tennant,_1st_Baronet",Alexander_Whitelaw
Robert_Smith_Vance,Jimmy_Carter
